gx, gy, speedX, speedY, speedZ
5.00, -9.00, -0.61, 0.24, 0.37
5.00, -7.00, -0.56, 0.19, 0.37
5.00, -5.00, -0.50, 0.13, 0.37
5.00, -3.00, -0.43, 0.06, 0.37
5.00, -1.00, -0.33, -0.04, 0.37
5.00, 1.00, -0.04, -0.33, 0.37
5.00, 3.00, 0.06, -0.43, 0.37
5.00, 5.00, 0.13, -0.50, 0.37
5.00, 7.00, 0.19, -0.56, 0.37
5.00, 9.00, 0.24, -0.61, 0.37
5.00, 11.00, 0.29, -0.65, 0.37
5.00, 13.00, 0.33, -0.70, 0.37
5.00, 15.00, 0.37, -0.73, 0.37
5.00, 17.00, 0.40, -0.77, 0.37
5.00, 19.00, 0.44, -0.80, 0.37
5.00, 21.00, 0.45, -0.82, 0.37
5.00, 23.00, 0.45, -0.82, 0.37
7.00, -25.00, -0.85, 0.42, 0.43
7.00, -23.00, -0.85, 0.42, 0.43
7.00, -21.00, -0.85, 0.42, 0.43
7.00, -19.00, -0.84, 0.40, 0.43
7.00, -17.00, -0.80, 0.37, 0.43
7.00, -15.00, -0.77, 0.33, 0.43
7.00, -13.00, -0.73, 0.30, 0.43
7.00, -11.00, -0.69, 0.25, 0.43
7.00, -9.00, -0.64, 0.21, 0.43
7.00, -7.00, -0.59, 0.16, 0.43
7.00, -5.00, -0.53, 0.10, 0.43
7.00, -3.00, -0.46, 0.03, 0.43
7.00, -1.00, -0.36, -0.07, 0.43
7.00, 1.00, -0.07, -0.36, 0.43
7.00, 3.00, 0.03, -0.46, 0.43
7.00, 5.00, 0.10, -0.53, 0.43
7.00, 7.00, 0.16, -0.59, 0.43
7.00, 9.00, 0.21, -0.64, 0.43
7.00, 11.00, 0.25, -0.69, 0.43
7.00, 13.00, 0.30, -0.73, 0.43
7.00, 15.00, 0.33, -0.77, 0.43
7.00, 17.00, 0.37, -0.80, 0.43
7.00, 19.00, 0.40, -0.84, 0.43
7.00, 21.00, 0.42, -0.85, 0.43
7.00, 23.00, 0.42, -0.85, 0.43
9.00, -25.00, -0.88, 0.39, 0.49
9.00, -23.00, -0.88, 0.39, 0.49
9.00, -21.00, -0.88, 0.39, 0.49
9.00, -19.00, -0.86, 0.37, 0.49
9.00, -17.00, -0.83, 0.34, 0.49
9.00, -15.00, -0.80, 0.30, 0.49
9.00, -13.00, -0.76, 0.27, 0.49
9.00, -11.00, -0.72, 0.23, 0.49
